IBGE;Chave Sem Acento;Chave Com Acento;Perímetro;IBGE;UF;MUNICIPIOS;CONCAT;Tabela Regional
5219258;GO - SANTA FE DE GOIAS;GO - Santa Fé de Goiás;V.tal;5219258;GO;SANTA FE DE GOIAS;GO - SANTA FE DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5219209;GO - SANTA CRUZ DE GOIAS;GO - Santa Cruz de Goiás;Fora do perimetro;5219209;GO;SANTA CRUZ DE GOIAS;GO - SANTA CRUZ DE GOIAS;FORA DO PERIMETRO VTAL
5219100;GO - SANTA BARBARA DE GOIAS;GO - Santa Bárbara de Goiás;V.tal;5219100;GO;SANTA BARBARA DE GOIAS;GO - SANTA BARBARA DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5219001;GO - SANCLERLANDIA;GO - Sanclerlândia;Fora do perimetro;5219001;GO;SANCLERLANDIA;GO - SANCLERLANDIA;FORA DO PERIMETRO VTAL
5218904;GO - RUBIATABA;GO - Rubiataba;V.tal;5218904;GO;RUBIATABA;GO - RUBIATABA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218805;GO - RIO VERDE;GO - Rio Verde;V.tal;5218805;GO;RIO VERDE;GO - RIO VERDE;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218789;GO - RIO QUENTE;GO - Rio Quente;V.tal;5218789;GO;RIO QUENTE;GO - RIO QUENTE;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218706;GO - RIANAPOLIS;GO - Rianápolis;V.tal;5218706;GO;RIANAPOLIS;GO - RIANAPOLIS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218607;GO - RIALMA;GO - Rialma;V.tal;5218607;GO;RIALMA;GO - RIALMA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218508;GO - QUIRINOPOLIS;GO - Quirinópolis;V.tal;5218508;GO;QUIRINOPOLIS;GO - QUIRINOPOLIS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218391;GO - PROFESSOR JAMIL;GO - Professor Jamil;V.tal;5218391;GO;PROFESSOR JAMIL;GO - PROFESSOR JAMIL;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218300;GO - POSSE;GO - Posse;V.tal;5218300;GO;POSSE;GO - POSSE;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218102;GO - PORTELANDIA;GO - Portelândia;V.tal;5218102;GO;PORTELANDIA;GO - PORTELANDIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5218052;GO - PORTEIRAO;GO - Porteirão;Fora do perimetro;5218052;GO;PORTEIRAO;GO - PORTEIRAO;FORA DO PERIMETRO VTAL
5218003;GO - PORANGATU;GO - Porangatu;V.tal;5218003;GO;PORANGATU;GO - PORANGATU;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5217708;GO - PONTALINA;GO - Pontalina;Fora do perimetro;5217708;GO;PONTALINA;GO - PONTALINA;FORA DO PERIMETRO VTAL
5217609;GO - PLANALTINA;GO - Planaltina;V.tal;5217609;GO;PLANALTINA;GO - PLANALTINA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5217401;GO - PIRES DO RIO;GO - Pires do Rio;V.tal;5217401;GO;PIRES DO RIO;GO - PIRES DO RIO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5217302;GO - PIRENOPOLIS;GO - Pirenópolis;V.tal;5217302;GO;PIRENOPOLIS;GO - PIRENOPOLIS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5217203;GO - PIRANHAS;GO - Piranhas;V.tal;5217203;GO;PIRANHAS;GO - PIRANHAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5217104;GO - PIRACANJUBA;GO - Piracanjuba;Fora do perimetro;5217104;GO;PIRACANJUBA;GO - PIRACANJUBA;FORA DO PERIMETRO VTAL
5216908;GO - PILAR DE GOIAS;GO - Pilar de Goiás;V.tal;5216908;GO;PILAR DE GOIAS;GO - PILAR DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5216809;GO - PETROLINA DE GOIAS;GO - Petrolina de Goiás;V.tal;5216809;GO;PETROLINA DE GOIAS;GO - PETROLINA DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5216452;GO - PEROLANDIA;GO - Perolândia;Fora do perimetro;5216452;GO;PEROLANDIA;GO - PEROLANDIA;FORA DO PERIMETRO VTAL
5216403;GO - PARAUNA;GO - Paraúna;Fora do perimetro;5216403;GO;PARAUNA;GO - PARAUNA;FORA DO PERIMETRO VTAL
5216304;GO - PARANAIGUARA;GO - Paranaiguara;Fora do perimetro;5216304;GO;PARANAIGUARA;GO - PARANAIGUARA;FORA DO PERIMETRO VTAL
5216007;GO - PANAMA;GO - Panamá;Fora do perimetro;5216007;GO;PANAMA;GO - PANAMA;FORA DO PERIMETRO VTAL
5215900;GO - PALMINOPOLIS;GO - Palminópolis;V.tal;5215900;GO;PALMINOPOLIS;GO - PALMINOPOLIS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5215801;GO - PALMELO;GO - Palmelo;Fora do perimetro;5215801;GO;PALMELO;GO - PALMELO;FORA DO PERIMETRO VTAL
5215702;GO - PALMEIRAS DE GOIAS;GO - Palmeiras de Goiás;V.tal;5215702;GO;PALMEIRAS DE GOIAS;GO - PALMEIRAS DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5215652;GO - PALESTINA DE GOIAS;GO - Palestina de Goiás;Fora do perimetro;5215652;GO;PALESTINA DE GOIAS;GO - PALESTINA DE GOIAS;FORA DO PERIMETRO VTAL
5215603;GO - PADRE BERNARDO;GO - Padre Bernardo;V.tal;5215603;GO;PADRE BERNARDO;GO - PADRE BERNARDO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5215504;GO - OUVIDOR;GO - Ouvidor;Fora do perimetro;5215504;GO;OUVIDOR;GO - OUVIDOR;FORA DO PERIMETRO VTAL
5215405;GO - OURO VERDE DE GOIAS;GO - Ouro Verde de Goiás;Fora do perimetro;5215405;GO;OURO VERDE DE GOIAS;GO - OURO VERDE DE GOIAS;FORA DO PERIMETRO VTAL
5215306;GO - ORIZONA;GO - Orizona;V.tal;5215306;GO;ORIZONA;GO - ORIZONA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5215256;GO - NOVO PLANALTO;GO - Novo Planalto;V.tal;5215256;GO;NOVO PLANALTO;GO - NOVO PLANALTO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5215231;GO - NOVO GAMA;GO - Novo Gama;V.tal;5215231;GO;NOVO GAMA;GO - NOVO GAMA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5215207;GO - NOVO BRASIL;GO - Novo Brasil;Fora do perimetro;5215207;GO;NOVO BRASIL;GO - NOVO BRASIL;FORA DO PERIMETRO VTAL
5215009;GO - NOVA VENEZA;GO - Nova Veneza;V.tal;5215009;GO;NOVA VENEZA;GO - NOVA VENEZA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5214903;GO - NOVA ROMA;GO - Nova Roma;Fora do perimetro;5214903;GO;NOVA ROMA;GO - NOVA ROMA;FORA DO PERIMETRO VTAL
5214879;GO - NOVA IGUACU DE GOIAS;GO - Nova Iguaçu de Goiás;Fora do perimetro;5214879;GO;NOVA IGUACU DE GOIAS;GO - NOVA IGUACU DE GOIAS;FORA DO PERIMETRO VTAL
5214861;GO - NOVA GLORIA;GO - Nova Glória;V.tal;5214861;GO;NOVA GLORIA;GO - NOVA GLORIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5214838;GO - NOVA CRIXAS;GO - Nova Crixás;V.tal;5214838;GO;NOVA CRIXAS;GO - NOVA CRIXAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5214804;GO - NOVA AURORA;GO - Nova Aurora;V.tal;5214804;GO;NOVA AURORA;GO - NOVA AURORA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5214705;GO - NOVA AMERICA;GO - Nova América;Fora do perimetro;5214705;GO;NOVA AMERICA;GO - NOVA AMERICA;FORA DO PERIMETRO VTAL
5214606;GO - NIQUELANDIA;GO - Niquelândia;Fora do perimetro;5214606;GO;NIQUELANDIA;GO - NIQUELANDIA;FORA DO PERIMETRO VTAL
5214507;GO - NEROPOLIS;GO - Nerópolis;V.tal;5214507;GO;NEROPOLIS;GO - NEROPOLIS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5214408;GO - NAZARIO;GO - Nazário;V.tal;5214408;GO;NAZARIO;GO - NAZARIO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5214101;GO - MUTUNOPOLIS;GO - Mutunópolis;Fora do perimetro;5214101;GO;MUTUNOPOLIS;GO - MUTUNOPOLIS;FORA DO PERIMETRO VTAL
5214051;GO - MUNDO NOVO;GO - Mundo Novo;V.tal;5214051;GO;MUNDO NOVO;GO - MUNDO NOVO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5214002;GO - MOZARLANDIA;GO - Mozarlândia;V.tal;5214002;GO;MOZARLANDIA;GO - MOZARLANDIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5213905;GO - MOSSAMEDES;GO - Mossâmedes;Fora do perimetro;5213905;GO;MOSSAMEDES;GO - MOSSAMEDES;FORA DO PERIMETRO VTAL
5213855;GO - MORRO AGUDO DE GOIAS;GO - Morro Agudo de Goiás;Fora do perimetro;5213855;GO;MORRO AGUDO DE GOIAS;GO - MORRO AGUDO DE GOIAS;FORA DO PERIMETRO VTAL
5213806;GO - MORRINHOS;GO - Morrinhos;V.tal;5213806;GO;MORRINHOS;GO - MORRINHOS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5213772;GO - MONTIVIDIU DO NORTE;GO - Montividiu do Norte;Fora do perimetro;5213772;GO;MONTIVIDIU DO NORTE;GO - MONTIVIDIU DO NORTE;FORA DO PERIMETRO VTAL
5213756;GO - MONTIVIDIU;GO - Montividiu;Fora do perimetro;5213756;GO;MONTIVIDIU;GO - MONTIVIDIU;FORA DO PERIMETRO VTAL
5213707;GO - MONTES CLAROS DE GOIAS;GO - Montes Claros de Goiás;V.tal;5213707;GO;MONTES CLAROS DE GOIAS;GO - MONTES CLAROS DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5213509;GO - MONTE ALEGRE DE GOIAS;GO - Monte Alegre de Goiás;V.tal;5213509;GO;MONTE ALEGRE DE GOIAS;GO - MONTE ALEGRE DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5213400;GO - MOIPORA;GO - Moiporá;Fora do perimetro;5213400;GO;MOIPORA;GO - MOIPORA;FORA DO PERIMETRO VTAL
5213103;GO - MINEIROS;GO - Mineiros;V.tal;5213103;GO;MINEIROS;GO - MINEIROS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5213087;GO - MINACU;GO - Minaçu;V.tal;5213087;GO;MINACU;GO - MINACU;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
